service_date,time_period,route_or_line,gated_entries
2017-12-16,(22:00:00),Blue Line,536.7
2015-06-27,(23:30:00),Blue Line,411.7
2022-07-31,(20:00:00),Blue Line,457.5
2021-02-09,(23:30:00),Red Line,159.11
2021-08-07,(14:30:00),Red Line,2132.81
2016-09-21,(21:30:00),Orange Line,1816.32
2020-02-28,(21:30:00),Silver Line,215.3
2018-11-20,(00:00:00),Red Line,453.49
2018-11-25,(22:00:00),Green Line,763.76
2019-09-22,(06:30:00),Orange Line,536.39
2022-05-13,(06:30:00),Green Line,347.67
2021-01-29,(00:00:00),Silver Line,15.2
2014-09-25,(03:00:00),Orange Line,1.98
2014-10-31,(16:30:00),Blue Line,1708.4
2018-02-28,(04:00:00),Green Line,5.66
2018-12-12,(15:00:00),Green Line,2415.39
2022-05-18,(11:30:00),Red Line,1818.57
2014-08-07,(16:30:00),Blue Line,1959.8
2021-10-14,(06:00:00),Orange Line,1567.48
2021-08-27,(17:00:00),Red Line,3632.52
2018-01-17,(19:00:00),Green Line,2238.82
2018-06-12,(17:30:00),Red Line,10476.92
2017-05-16,(11:00:00),Blue Line,997.5
2016-03-01,(15:00:00),Silver Line,281.9
2020-10-27,(16:30:00),Silver Line,102.5
2020-04-29,(22:30:00),Blue Line,42.8
2020-04-22,(21:30:00),Green Line,54.83
2016-08-19,(04:30:00),Orange Line,77.81
2017-07-15,(04:00:00),Green Line,3.0
2020-04-23,(10:00:00),Orange Line,281.24
2015-02-11,(05:30:00),Red Line,1469.9
2021-10-24,(21:00:00),Red Line,703.26
2015-03-12,(02:00:00),Red Line,7.9
2018-02-25,(08:00:00),Silver Line,20.8
2019-03-03,(07:00:00),Green Line,220.33
2022-04-10,(01:00:00),Silver Line,1.8
2021-10-10,(22:30:00),Green Line,880.94
2019-01-18,(04:00:00),Blue Line,0.4
2021-08-03,(12:30:00),Silver Line,79.9
2014-07-31,(05:00:00),Orange Line,1210.65
2019-10-31,(09:00:00),Orange Line,5590.96
2017-10-01,(06:30:00),Green Line,219.60999999999999
2017-08-09,(05:30:00),Silver Line,19.8
2020-04-03,(06:00:00),Orange Line,461.95
2021-06-15,(18:30:00),Red Line,1723.89
2015-06-16,(22:00:00),Green Line,1666.3899999999999
2019-01-03,(15:30:00),Orange Line,5014.88
2015-02-19,(15:00:00),Red Line,4603.11
2017-06-21,(11:30:00),Orange Line,3007.14
2017-11-11,(07:30:00),Blue Line,780.0
2015-11-06,(08:30:00),Green Line,2363.08
2018-04-01,(23:30:00),Red Line,417.57
2016-03-12,(06:30:00),Blue Line,688.5
2019-03-21,(18:00:00),Red Line,8260.78
2016-11-01,(11:30:00),Green Line,1294.67
2016-08-28,(16:00:00),Silver Line,121.3
2015-03-05,(17:30:00),Blue Line,1205.9
2015-08-06,(13:00:00),Blue Line,1053.1
2015-05-17,(15:30:00),Orange Line,2494.16
2014-05-01,(00:00:00),Silver Line,60.2
2017-03-19,(04:30:00),Red Line,11.16
2015-11-02,(10:30:00),Green Line,1005.56
2017-03-26,(18:00:00),Orange Line,1847.24
2019-12-29,(17:30:00),Blue Line,554.9
2019-09-06,(21:30:00),Green Line,1662.43
2019-11-13,(08:30:00),Silver Line,474.0
2020-04-23,(06:30:00),Red Line,531.02
2022-01-29,(12:00:00),Silver Line,8.8
2015-10-21,(23:00:00),Orange Line,1876.8000000000002
2018-08-12,(01:30:00),Green Line,1.72
2020-02-20,(11:00:00),Green Line,1251.01
2018-02-06,(02:00:00),Red Line,5.29
2018-04-03,(05:00:00),Green Line,173.62
2020-12-30,(03:30:00),Red Line,3.51
2021-03-11,(08:30:00),Orange Line,1175.55
2021-09-26,(09:00:00),Blue Line,589.3
2021-04-25,(23:30:00),Orange Line,124.63
2021-02-02,(00:30:00),Blue Line,22.4
2020-04-09,(20:30:00),Silver Line,11.2
2015-02-05,(12:30:00),Silver Line,110.3
2017-07-11,(15:30:00),Silver Line,322.6
2019-12-01,(08:30:00),Green Line,338.63
2018-06-28,(20:30:00),Green Line,1607.59
2019-05-01,(03:30:00),Green Line,2.0
2016-03-07,(19:30:00),Silver Line,202.5
2017-09-22,(12:30:00),Orange Line,3393.86
2020-09-14,(13:30:00),Orange Line,1103.32
2016-05-11,(04:00:00),Red Line,1.49
2020-01-30,(08:00:00),Green Line,2497.64
2018-06-03,(10:00:00),Orange Line,1604.47
2019-06-10,(19:00:00),Blue Line,886.5
2018-11-13,(11:30:00),Silver Line,144.6
2015-03-26,(07:30:00),Orange Line,8598.7
2016-07-19,(14:00:00),Red Line,4812.07
2018-12-19,(14:00:00),Silver Line,260.4
2022-02-16,(22:30:00),Blue Line,250.7
2021-03-16,(21:30:00),Silver Line,37.6
2019-06-22,(16:30:00),Silver Line,178.2
2016-11-28,(07:30:00),Orange Line,8185.32
2014-05-25,(14:30:00),Blue Line,893.3
2020-06-18,(04:00:00),Blue Line,2.0
2018-02-20,(04:30:00),Blue Line,59.2
2019-09-13,(13:00:00),Blue Line,999.9
2017-11-20,(06:00:00),Blue Line,1846.5
2020-05-06,(05:30:00),Green Line,89.48
2015-06-17,(17:00:00),Silver Line,1264.2
2018-10-06,(00:00:00),Blue Line,373.1
2022-01-24,(08:00:00),Red Line,3583.56
2020-03-13,(07:30:00),Orange Line,3966.06
2019-11-16,(09:30:00),Orange Line,1721.17
2021-11-07,(00:00:00),Red Line,142.92
2022-06-06,(16:30:00),Blue Line,1137.5
2016-04-26,(11:30:00),Orange Line,2617.57
2021-09-01,(18:30:00),Green Line,1201.0
2017-10-25,(01:30:00),Green Line,4.93
2014-09-24,(21:00:00),Red Line,2976.62
2014-08-01,(20:30:00),Orange Line,2297.71
2018-10-02,(00:30:00),Red Line,150.61
2018-10-20,(01:30:00),Red Line,24.47
2016-07-20,(20:30:00),Green Line,2033.28
2021-02-19,(16:30:00),Blue Line,567.3
2017-10-07,(12:00:00),Blue Line,1039.1
2020-12-19,(19:30:00),Red Line,500.56
2016-11-08,(19:00:00),Blue Line,721.2
2021-02-27,(18:00:00),Silver Line,31.1
2020-08-29,(19:00:00),Green Line,367.17
2016-12-17,(09:00:00),Orange Line,1576.68
2016-04-22,(19:30:00),Red Line,4154.4400000000005
2018-03-15,(19:30:00),Orange Line,2923.49
2016-01-31,(16:30:00),Silver Line,117.2
2019-12-08,(19:30:00),Orange Line,1082.73
2022-05-04,(08:30:00),Green Line,856.16
2017-10-24,(03:30:00),Green Line,0.68
2016-09-21,(22:30:00),Green Line,1070.29
2022-02-18,(19:00:00),Orange Line,1979.2
2014-05-08,(09:30:00),Blue Line,1248.3
2014-11-14,(10:00:00),Red Line,4692.79
2017-04-17,(06:30:00),Silver Line,148.9
2017-07-16,(01:00:00),Red Line,46.04
2014-08-02,(12:00:00),Red Line,3836.44
2022-01-17,(23:00:00),Blue Line,156.7
2020-05-31,(00:00:00),Green Line,23.28
2014-07-05,(07:30:00),Green Line,360.89
2018-07-22,(02:00:00),Orange Line,2.0
2022-03-31,(03:30:00),Silver Line,1.0
2021-01-19,(00:30:00),Silver Line,1.5
2017-11-07,(06:00:00),Red Line,4759.84
2021-05-26,(13:30:00),Green Line,661.1800000000001
2014-02-18,(22:00:00),Silver Line,83.3
2016-06-27,(04:00:00),Orange Line,10.0
2017-08-10,(05:00:00),Red Line,1602.27
2018-01-26,(14:00:00),Orange Line,4697.34
2018-06-21,(17:00:00),Orange Line,10103.91
2019-03-15,(14:00:00),Orange Line,4518.94
2018-05-27,(00:00:00),Orange Line,495.97
2022-02-01,(04:30:00),Orange Line,38.49
2019-08-14,(01:00:00),Green Line,15.69
2015-08-18,(01:30:00),Green Line,4.52
2021-02-22,(05:00:00),Red Line,602.08
2015-11-14,(02:30:00),Silver Line,0.6
2018-06-02,(08:30:00),Silver Line,37.2
2022-02-24,(00:00:00),Orange Line,222.25
2018-12-09,(13:30:00),Blue Line,806.0
2017-04-13,(14:00:00),Red Line,4971.18
2020-08-11,(09:30:00),Orange Line,737.88
2017-07-09,(22:00:00),Silver Line,113.2
2014-08-19,(09:30:00),Silver Line,137.2
2014-08-12,(07:00:00),Green Line,1388.33
2022-01-14,(11:00:00),Green Line,480.97
2015-02-09,(16:30:00),Red Line,2418.83
2020-11-25,(10:30:00),Green Line,292.94
2016-06-12,(00:00:00),Silver Line,33.3
2020-08-15,(02:30:00),Blue Line,0.3
2021-08-12,(14:30:00),Orange Line,1905.3
2014-10-04,(01:00:00),Green Line,660.3
2017-03-13,(06:30:00),Red Line,5682.85
2014-04-18,(15:30:00),Blue Line,1560.2
2022-07-12,(16:30:00),Red Line,4827.48
2020-09-26,(00:30:00),Orange Line,71.48
2020-07-17,(22:00:00),Silver Line,35.4
2015-07-06,(06:00:00),Silver Line,109.5
2021-05-19,(09:30:00),Silver Line,33.7
2019-08-10,(22:30:00),Orange Line,2171.9300000000003
2014-04-25,(11:30:00),Blue Line,945.4
2020-07-20,(13:00:00),Silver Line,31.6
2021-07-21,(14:00:00),Blue Line,846.2
2021-08-16,(16:00:00),Silver Line,181.5
2018-12-25,(10:30:00),Silver Line,23.9
2021-05-11,(14:00:00),Silver Line,77.5
2020-09-23,(17:30:00),Green Line,785.8
2021-11-21,(04:00:00),Red Line,1.53
2021-04-11,(17:00:00),Red Line,849.0
2021-02-08,(15:30:00),Blue Line,605.4
2019-08-12,(18:30:00),Green Line,2937.42
2016-10-17,(01:00:00),Blue Line,21.9
2017-09-11,(01:00:00),Orange Line,40.4
2021-04-16,(23:30:00),Green Line,312.57
2017-08-14,(21:30:00),Green Line,2516.09
2016-07-18,(05:30:00),Blue Line,1169.8
2019-08-06,(06:00:00),Blue Line,1852.7
2020-04-27,(08:00:00),Red Line,408.1
2022-01-22,(22:00:00),Orange Line,758.54
2021-09-17,(10:00:00),Blue Line,721.0
2015-11-10,(04:00:00),Red Line,11.07
2017-07-21,(21:30:00),Green Line,1474.81
2019-09-01,(04:00:00),Red Line,1.02
2016-04-12,(19:30:00),Orange Line,2875.9
2018-04-14,(20:00:00),Green Line,1747.94
2018-12-04,(00:00:00),Red Line,376.43
2015-04-16,(10:00:00),Red Line,4248.34
2016-11-02,(17:00:00),Orange Line,10317.7
2021-09-02,(21:30:00),Green Line,839.53
2020-02-11,(06:00:00),Green Line,731.92
2016-09-05,(21:00:00),Blue Line,446.6
2017-03-23,(12:30:00),Orange Line,3006.5
2018-10-31,(07:00:00),Green Line,1737.26
2021-01-12,(04:30:00),Orange Line,61.900000000000006
2020-04-12,(18:30:00),Blue Line,55.8
2016-05-27,(01:30:00),Green Line,4.49
2022-06-06,(21:00:00),Silver Line,96.0
2022-01-27,(22:00:00),Red Line,861.24
2022-03-01,(16:30:00),Orange Line,3458.67
2018-06-28,(16:00:00),Red Line,7767.28
2017-03-01,(13:30:00),Orange Line,3167.5
2019-05-22,(08:00:00),Blue Line,3605.9
2014-06-07,(06:00:00),Green Line,287.99
2020-09-02,(18:30:00),Orange Line,898.4300000000001
2022-02-25,(14:30:00),Blue Line,596.2
2014-05-30,(19:30:00),Red Line,4209.93
2021-03-04,(07:00:00),Blue Line,980.1
2022-06-13,(11:30:00),Red Line,1687.2
2017-08-14,(09:00:00),Red Line,6991.89
2017-01-20,(00:30:00),Green Line,277.95
2018-12-24,(01:30:00),Green Line,3.83
2016-02-27,(22:00:00),Green Line,1703.0
2017-09-09,(08:30:00),Silver Line,31.2
2021-03-14,(14:30:00),Red Line,1000.07
2020-12-17,(03:30:00),Red Line,5.51
2018-06-07,(22:00:00),Blue Line,757.3
2020-12-07,(23:30:00),Orange Line,128.26
2014-12-12,(20:00:00),Green Line,1995.3899999999999
2015-06-12,(11:30:00),Blue Line,975.6
2017-02-05,(18:30:00),Blue Line,353.1
2017-11-21,(04:00:00),Orange Line,4.41
2014-01-06,(16:30:00),Red Line,8964.2
2016-03-14,(05:00:00),Orange Line,1654.55
2018-04-26,(02:00:00),Blue Line,11.9
2020-10-23,(14:00:00),Blue Line,788.3
2020-11-10,(02:30:00),Blue Line,2.0
2020-07-26,(12:00:00),Orange Line,551.53
2015-12-17,(15:00:00),Blue Line,1445.4
2019-01-04,(06:00:00),Silver Line,80.0
2020-10-01,(20:30:00),Green Line,314.33
2014-05-25,(12:00:00),Orange Line,2290.38
2016-04-21,(10:00:00),Red Line,4949.85
2022-01-13,(16:30:00),Green Line,1361.05
2014-03-28,(17:30:00),Green Line,4619.16
2018-06-16,(15:00:00),Silver Line,165.9
2021-05-09,(17:00:00),Silver Line,71.5
2016-08-09,(15:30:00),Silver Line,363.5
2016-05-06,(17:00:00),Silver Line,1184.3
2019-01-31,(21:30:00),Silver Line,136.1
2014-04-01,(17:00:00),Green Line,5575.55
2020-06-11,(11:30:00),Red Line,466.02
2017-10-13,(18:30:00),Orange Line,4486.22
2015-01-10,(13:00:00),Orange Line,2654.59
2017-05-01,(03:30:00),Orange Line,2.0
2022-05-02,(03:30:00),Green Line,0.58
2017-05-27,(00:30:00),Red Line,294.44
2021-10-20,(21:30:00),Red Line,1101.38
2017-09-09,(02:00:00),Red Line,1.4
2016-03-13,(20:00:00),Blue Line,412.5
2017-07-24,(16:00:00),Red Line,7178.03
2021-01-31,(01:00:00),Red Line,32.410000000000004
2014-11-06,(17:00:00),Silver Line,1490.9
2017-09-26,(10:00:00),Silver Line,96.0
2021-12-18,(17:00:00),Green Line,1345.9099999999999
2015-05-16,(14:30:00),Blue Line,1108.1
2015-10-27,(08:30:00),Red Line,12215.72
2021-12-05,(18:30:00),Green Line,841.14
2018-08-25,(22:30:00),Orange Line,1095.92
2018-05-12,(22:30:00),Green Line,1084.86
2014-12-26,(16:30:00),Red Line,4613.0
2014-07-01,(00:30:00),Silver Line,22.8
2019-09-11,(14:30:00),Red Line,4796.6
2014-05-22,(20:30:00),Green Line,2171.57
2015-11-10,(22:30:00),Orange Line,1253.26
2020-12-06,(07:30:00),Green Line,97.17
2015-02-17,(09:00:00),Orange Line,4219.39
2018-04-25,(11:00:00),Silver Line,91.7
2019-12-14,(00:00:00),Orange Line,675.98
2019-05-16,(19:00:00),Silver Line,418.0
2018-04-30,(13:00:00),Red Line,3251.92
2014-09-21,(07:30:00),Orange Line,1042.68
2016-12-09,(06:30:00),Orange Line,4520.12
2014-07-22,(06:00:00),Blue Line,1661.1
2021-05-08,(14:30:00),Orange Line,1349.69
2021-11-26,(06:00:00),Blue Line,632.7
2015-09-20,(10:30:00),Silver Line,65.3
2017-07-05,(21:00:00),Green Line,1457.99
2018-09-22,(10:00:00),Red Line,2807.22
2015-06-22,(08:30:00),Silver Line,370.2
2020-04-23,(07:30:00),Blue Line,231.6
2018-11-25,(15:00:00),Silver Line,150.3
2016-08-26,(11:00:00),Blue Line,1116.7
2021-11-22,(11:30:00),Orange Line,1427.7
2014-07-10,(00:00:00),Red Line,883.05
2019-03-25,(21:30:00),Red Line,1644.3600000000001
2021-12-13,(12:30:00),Green Line,796.66
2019-12-11,(02:00:00),Blue Line,6.0
2021-06-10,(22:30:00),Blue Line,276.9
2021-02-20,(09:00:00),Green Line,163.04
2017-12-06,(04:00:00),Blue Line,43.0
2017-02-26,(19:30:00),Green Line,1007.27
2017-07-18,(19:00:00),Orange Line,3374.44
2014-10-04,(19:30:00),Blue Line,512.3
2014-04-10,(13:30:00),Orange Line,3551.45
2018-09-24,(07:00:00),Silver Line,344.4
2018-03-15,(16:30:00),Green Line,3998.13
2018-12-07,(23:30:00),Orange Line,1058.38
2017-01-11,(15:30:00),Red Line,5784.22
2017-12-01,(22:00:00),Silver Line,130.8
2021-03-26,(05:30:00),Orange Line,665.88
2014-10-30,(01:30:00),Silver Line,0.3
2018-07-02,(17:00:00),Silver Line,969.4
2017-12-07,(20:30:00),Green Line,1898.55
2015-07-31,(23:30:00),Silver Line,120.2
2015-01-26,(07:30:00),Orange Line,8538.87
2021-05-28,(23:00:00),Green Line,603.07
2015-09-10,(07:30:00),Red Line,12992.44
2021-04-14,(22:30:00),Silver Line,50.1
2021-03-17,(07:00:00),Silver Line,63.5
2016-08-18,(14:30:00),Blue Line,1560.5
2017-02-19,(07:30:00),Red Line,1010.42
2020-12-25,(01:00:00),Orange Line,14.43
2018-01-28,(08:30:00),Silver Line,20.0
2022-05-27,(15:30:00),Blue Line,1152.5
2017-11-23,(15:00:00),Red Line,1477.27
2019-09-06,(06:30:00),Silver Line,183.0
2021-11-09,(00:30:00),Silver Line,2.7
2016-04-04,(22:30:00),Blue Line,344.3
2021-01-07,(17:00:00),Silver Line,83.9
2014-02-07,(12:30:00),Green Line,1618.09
2021-09-03,(05:00:00),Blue Line,664.6
2022-05-13,(14:00:00),Green Line,1335.97
2017-05-08,(21:00:00),Red Line,2330.66
2017-05-01,(20:00:00),Silver Line,180.5
2015-05-21,(01:00:00),Orange Line,85.24000000000001
2018-11-10,(07:30:00),Silver Line,55.8
2019-01-07,(01:30:00),Blue Line,5.9
2022-04-18,(19:00:00),Blue Line,556.2
2014-10-17,(21:30:00),Red Line,3198.9700000000003
2017-06-01,(18:30:00),Red Line,5930.35
2014-06-04,(16:30:00),Orange Line,8564.47
2017-09-06,(00:30:00),Orange Line,88.46000000000001
2020-10-14,(10:00:00),Red Line,998.81
2020-12-08,(05:00:00),Blue Line,472.0
2020-04-21,(12:00:00),Blue Line,174.2
2020-10-04,(19:30:00),Silver Line,36.6
2014-09-13,(22:00:00),Blue Line,542.3
2014-03-14,(18:30:00),Orange Line,4852.44
2020-07-08,(00:00:00),Green Line,40.07
2018-02-27,(11:30:00),Red Line,2805.02
2015-07-01,(18:30:00),Green Line,2989.54
2021-12-12,(13:00:00),Silver Line,71.9
2014-03-16,(20:30:00),Orange Line,1201.11
2017-11-17,(18:00:00),Green Line,3899.27
2022-03-13,(09:30:00),Green Line,337.94
2017-03-05,(02:00:00),Orange Line,1.9
2022-04-29,(05:30:00),Red Line,1347.4
2017-05-04,(19:30:00),Green Line,2262.34
2019-04-14,(22:30:00),Blue Line,372.1
2018-02-17,(00:30:00),Blue Line,121.3
2018-10-07,(08:30:00),Green Line,404.46
2014-06-28,(22:30:00),Red Line,2126.82
2016-07-23,(14:00:00),Green Line,2124.08
2017-05-20,(19:30:00),Blue Line,809.5
